,County Name,Measure Name,Score Readmission,Score,Score Medicare
26,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,,15.3,0.98
27,SHAWNEE,Hospital return days for heart attack patients,,-9.5,1
28,SHAWNEE,Hospital return days for heart failure patients,,-12.7,1
29,SHAWNEE,Hospital return days for pneumonia patients,,-15,1
30,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",,15.8,1
31,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,,14.4,1
32,SHAWNEE,Rate of readmission for CABG,,13.5,1
33,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,,20.1,1
34,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,,19.5,1
35,SHAWNEE,Rate of readmission after hip/knee replacement,,4.2,1
36,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,,14.9,1
37,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,,15.2,1
38,SHAWNEE,Rate of readmission for stroke patients,,12.3,1
39,SHAWNEE,Hospital return days for heart attack patients,,-7.1,1
40,SHAWNEE,Hospital return days for heart failure patients,,1,1
41,SHAWNEE,Hospital return days for pneumonia patients,,-2.2,1
42,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",,Not Available,1
43,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,,14.8,1
44,SHAWNEE,Rate of readmission for CABG,,13.8,1
45,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,,20.4,1
46,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,,21.3,1
47,SHAWNEE,Rate of readmission after hip/knee replacement,,4.6,1
48,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,,15.2,1
49,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,,17.6,1
50,SHAWNEE,Rate of readmission for stroke patients,,12.1,1
51,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,,Not Available,1
52,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,,20.8,1
53,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,,15.3,1
54,SHAWNEE,Hospital return days for heart attack patients,12.0,-9.5,0.98
55,SHAWNEE,Hospital return days for heart failure patients,12.0,-12.7,0.98
56,SHAWNEE,Hospital return days for pneumonia patients,12.0,-15,0.98
57,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",12.0,15.8,0.98
58,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,12.0,14.4,0.98
59,SHAWNEE,Rate of readmission for CABG,12.0,13.5,0.98
60,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,12.0,20.1,0.98
61,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,12.0,19.5,0.98
62,SHAWNEE,Rate of readmission after hip/knee replacement,12.0,4.2,0.98
63,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,12.0,14.9,0.98
64,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,12.0,15.2,0.98
65,SHAWNEE,Rate of readmission for stroke patients,12.0,12.3,0.98
66,SHAWNEE,Hospital return days for heart attack patients,12.0,-7.1,0.98
67,SHAWNEE,Hospital return days for heart failure patients,12.0,1,0.98
68,SHAWNEE,Hospital return days for pneumonia patients,12.0,-2.2,0.98
69,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",12.0,Not Available,0.98
70,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,12.0,14.8,0.98
71,SHAWNEE,Rate of readmission for CABG,12.0,13.8,0.98
72,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,12.0,20.4,0.98
73,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,12.0,21.3,0.98
74,SHAWNEE,Rate of readmission after hip/knee replacement,12.0,4.6,0.98
75,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,12.0,15.2,0.98
76,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,12.0,17.6,0.98
77,SHAWNEE,Rate of readmission for stroke patients,12.0,12.1,0.98
78,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,12.0,Not Available,0.98
79,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,12.0,20.8,0.98
80,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,12.0,15.3,0.98
81,SHAWNEE,Hospital return days for heart attack patients,12.0,-9.5,1
82,SHAWNEE,Hospital return days for heart failure patients,12.0,-12.7,1
83,SHAWNEE,Hospital return days for pneumonia patients,12.0,-15,1
84,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",12.0,15.8,1
85,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,12.0,14.4,1
86,SHAWNEE,Rate of readmission for CABG,12.0,13.5,1
87,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,12.0,20.1,1
88,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,12.0,19.5,1
89,SHAWNEE,Rate of readmission after hip/knee replacement,12.0,4.2,1
90,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,12.0,14.9,1
91,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,12.0,15.2,1
92,SHAWNEE,Rate of readmission for stroke patients,12.0,12.3,1
93,SHAWNEE,Hospital return days for heart attack patients,12.0,-7.1,1
94,SHAWNEE,Hospital return days for heart failure patients,12.0,1,1
95,SHAWNEE,Hospital return days for pneumonia patients,12.0,-2.2,1
96,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",12.0,Not Available,1
97,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,12.0,14.8,1
98,SHAWNEE,Rate of readmission for CABG,12.0,13.8,1
99,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,12.0,20.4,1
100,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,12.0,21.3,1
101,SHAWNEE,Rate of readmission after hip/knee replacement,12.0,4.6,1
102,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,12.0,15.2,1
103,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,12.0,17.6,1
104,SHAWNEE,Rate of readmission for stroke patients,12.0,12.1,1
105,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,12.0,Not Available,1
106,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,12.0,20.8,1
107,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,12.0,15.3,1
108,SHAWNEE,Hospital return days for heart attack patients,14.3,-9.5,0.98
109,SHAWNEE,Hospital return days for heart failure patients,14.3,-12.7,0.98
110,SHAWNEE,Hospital return days for pneumonia patients,14.3,-15,0.98
111,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",14.3,15.8,0.98
112,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,14.3,14.4,0.98
113,SHAWNEE,Rate of readmission for CABG,14.3,13.5,0.98
114,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,14.3,20.1,0.98
115,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,14.3,19.5,0.98
116,SHAWNEE,Rate of readmission after hip/knee replacement,14.3,4.2,0.98
117,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,14.3,14.9,0.98
118,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,14.3,15.2,0.98
119,SHAWNEE,Rate of readmission for stroke patients,14.3,12.3,0.98
120,SHAWNEE,Hospital return days for heart attack patients,14.3,-7.1,0.98
121,SHAWNEE,Hospital return days for heart failure patients,14.3,1,0.98
122,SHAWNEE,Hospital return days for pneumonia patients,14.3,-2.2,0.98
123,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",14.3,Not Available,0.98
124,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,14.3,14.8,0.98
125,SHAWNEE,Rate of readmission for CABG,14.3,13.8,0.98
126,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,14.3,20.4,0.98
127,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,14.3,21.3,0.98
128,SHAWNEE,Rate of readmission after hip/knee replacement,14.3,4.6,0.98
129,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,14.3,15.2,0.98
130,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,14.3,17.6,0.98
131,SHAWNEE,Rate of readmission for stroke patients,14.3,12.1,0.98
132,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,14.3,Not Available,0.98
133,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,14.3,20.8,0.98
134,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,14.3,15.3,0.98
135,SHAWNEE,Hospital return days for heart attack patients,14.3,-9.5,1
136,SHAWNEE,Hospital return days for heart failure patients,14.3,-12.7,1
137,SHAWNEE,Hospital return days for pneumonia patients,14.3,-15,1
138,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",14.3,15.8,1
139,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,14.3,14.4,1
140,SHAWNEE,Rate of readmission for CABG,14.3,13.5,1
141,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,14.3,20.1,1
142,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,14.3,19.5,1
143,SHAWNEE,Rate of readmission after hip/knee replacement,14.3,4.2,1
144,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,14.3,14.9,1
145,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,14.3,15.2,1
146,SHAWNEE,Rate of readmission for stroke patients,14.3,12.3,1
147,SHAWNEE,Hospital return days for heart attack patients,14.3,-7.1,1
148,SHAWNEE,Hospital return days for heart failure patients,14.3,1,1
149,SHAWNEE,Hospital return days for pneumonia patients,14.3,-2.2,1
150,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",14.3,Not Available,1
151,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,14.3,14.8,1
152,SHAWNEE,Rate of readmission for CABG,14.3,13.8,1
153,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,14.3,20.4,1
154,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,14.3,21.3,1
155,SHAWNEE,Rate of readmission after hip/knee replacement,14.3,4.6,1
156,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,14.3,15.2,1
157,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,14.3,17.6,1
158,SHAWNEE,Rate of readmission for stroke patients,14.3,12.1,1
159,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,14.3,Not Available,1
160,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,14.3,20.8,1
161,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,14.3,15.3,1
162,SHAWNEE,Hospital return days for heart attack patients,,-9.5,0.98
163,SHAWNEE,Hospital return days for heart failure patients,,-12.7,0.98
164,SHAWNEE,Hospital return days for pneumonia patients,,-15,0.98
165,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",,15.8,0.98
166,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,,14.4,0.98
167,SHAWNEE,Rate of readmission for CABG,,13.5,0.98
168,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,,20.1,0.98
169,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,,19.5,0.98
170,SHAWNEE,Rate of readmission after hip/knee replacement,,4.2,0.98
171,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,,14.9,0.98
172,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,,15.2,0.98
173,SHAWNEE,Rate of readmission for stroke patients,,12.3,0.98
174,SHAWNEE,Hospital return days for heart attack patients,,-7.1,0.98
175,SHAWNEE,Hospital return days for heart failure patients,,1,0.98
176,SHAWNEE,Hospital return days for pneumonia patients,,-2.2,0.98
177,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",,Not Available,0.98
178,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,,14.8,0.98
179,SHAWNEE,Rate of readmission for CABG,,13.8,0.98
180,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,,20.4,0.98
181,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,,21.3,0.98
182,SHAWNEE,Rate of readmission after hip/knee replacement,,4.6,0.98
183,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,,15.2,0.98
184,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,,17.6,0.98
185,SHAWNEE,Rate of readmission for stroke patients,,12.1,0.98
186,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,,Not Available,0.98
187,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,,20.8,0.98
188,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,,15.3,0.98
189,SHAWNEE,Hospital return days for heart attack patients,,-9.5,1
190,SHAWNEE,Hospital return days for heart failure patients,,-12.7,1
191,SHAWNEE,Hospital return days for pneumonia patients,,-15,1
192,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",,15.8,1
193,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,,14.4,1
194,SHAWNEE,Rate of readmission for CABG,,13.5,1
195,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,,20.1,1
196,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,,19.5,1
197,SHAWNEE,Rate of readmission after hip/knee replacement,,4.2,1
198,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,,14.9,1
199,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,,15.2,1
200,SHAWNEE,Rate of readmission for stroke patients,,12.3,1
201,SHAWNEE,Hospital return days for heart attack patients,,-7.1,1
202,SHAWNEE,Hospital return days for heart failure patients,,1,1
203,SHAWNEE,Hospital return days for pneumonia patients,,-2.2,1
204,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",,Not Available,1
205,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,,14.8,1
206,SHAWNEE,Rate of readmission for CABG,,13.8,1
207,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,,20.4,1
208,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,,21.3,1
209,SHAWNEE,Rate of readmission after hip/knee replacement,,4.6,1
210,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,,15.2,1
211,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,,17.6,1
212,SHAWNEE,Rate of readmission for stroke patients,,12.1,1
213,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,,Not Available,1
214,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,,20.8,1
215,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,,15.3,1
216,SHAWNEE,Hospital return days for heart attack patients,20.8,-9.5,0.98
217,SHAWNEE,Hospital return days for heart failure patients,20.8,-12.7,0.98
218,SHAWNEE,Hospital return days for pneumonia patients,20.8,-15,0.98
219,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",20.8,15.8,0.98
220,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,20.8,14.4,0.98
221,SHAWNEE,Rate of readmission for CABG,20.8,13.5,0.98
222,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,20.8,20.1,0.98
223,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,20.8,19.5,0.98
224,SHAWNEE,Rate of readmission after hip/knee replacement,20.8,4.2,0.98
225,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,20.8,14.9,0.98
226,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,20.8,15.2,0.98
227,SHAWNEE,Rate of readmission for stroke patients,20.8,12.3,0.98
228,SHAWNEE,Hospital return days for heart attack patients,20.8,-7.1,0.98
229,SHAWNEE,Hospital return days for heart failure patients,20.8,1,0.98
230,SHAWNEE,Hospital return days for pneumonia patients,20.8,-2.2,0.98
231,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",20.8,Not Available,0.98
232,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,20.8,14.8,0.98
233,SHAWNEE,Rate of readmission for CABG,20.8,13.8,0.98
234,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,20.8,20.4,0.98
235,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,20.8,21.3,0.98
236,SHAWNEE,Rate of readmission after hip/knee replacement,20.8,4.6,0.98
237,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,20.8,15.2,0.98
238,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,20.8,17.6,0.98
239,SHAWNEE,Rate of readmission for stroke patients,20.8,12.1,0.98
240,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,20.8,Not Available,0.98
241,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,20.8,20.8,0.98
242,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,20.8,15.3,0.98
243,SHAWNEE,Hospital return days for heart attack patients,20.8,-9.5,1
244,SHAWNEE,Hospital return days for heart failure patients,20.8,-12.7,1
245,SHAWNEE,Hospital return days for pneumonia patients,20.8,-15,1
246,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",20.8,15.8,1
247,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,20.8,14.4,1
248,SHAWNEE,Rate of readmission for CABG,20.8,13.5,1
249,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,20.8,20.1,1
250,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,20.8,19.5,1
251,SHAWNEE,Rate of readmission after hip/knee replacement,20.8,4.2,1
252,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,20.8,14.9,1
253,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,20.8,15.2,1
254,SHAWNEE,Rate of readmission for stroke patients,20.8,12.3,1
255,SHAWNEE,Hospital return days for heart attack patients,20.8,-7.1,1
256,SHAWNEE,Hospital return days for heart failure patients,20.8,1,1
257,SHAWNEE,Hospital return days for pneumonia patients,20.8,-2.2,1
258,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",20.8,Not Available,1
259,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,20.8,14.8,1
260,SHAWNEE,Rate of readmission for CABG,20.8,13.8,1
261,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,20.8,20.4,1
262,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,20.8,21.3,1
263,SHAWNEE,Rate of readmission after hip/knee replacement,20.8,4.6,1
264,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,20.8,15.2,1
265,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,20.8,17.6,1
266,SHAWNEE,Rate of readmission for stroke patients,20.8,12.1,1
267,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,20.8,Not Available,1
268,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,20.8,20.8,1
269,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,20.8,15.3,1
270,SHAWNEE,Hospital return days for heart attack patients,15.3,-9.5,0.98
271,SHAWNEE,Hospital return days for heart failure patients,15.3,-12.7,0.98
272,SHAWNEE,Hospital return days for pneumonia patients,15.3,-15,0.98
273,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",15.3,15.8,0.98
274,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,15.3,14.4,0.98
275,SHAWNEE,Rate of readmission for CABG,15.3,13.5,0.98
276,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,15.3,20.1,0.98
277,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,15.3,19.5,0.98
278,SHAWNEE,Rate of readmission after hip/knee replacement,15.3,4.2,0.98
279,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,15.3,14.9,0.98
280,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,15.3,15.2,0.98
281,SHAWNEE,Rate of readmission for stroke patients,15.3,12.3,0.98
282,SHAWNEE,Hospital return days for heart attack patients,15.3,-7.1,0.98
283,SHAWNEE,Hospital return days for heart failure patients,15.3,1,0.98
284,SHAWNEE,Hospital return days for pneumonia patients,15.3,-2.2,0.98
285,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",15.3,Not Available,0.98
286,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,15.3,14.8,0.98
287,SHAWNEE,Rate of readmission for CABG,15.3,13.8,0.98
288,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,15.3,20.4,0.98
289,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,15.3,21.3,0.98
290,SHAWNEE,Rate of readmission after hip/knee replacement,15.3,4.6,0.98
291,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,15.3,15.2,0.98
292,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,15.3,17.6,0.98
293,SHAWNEE,Rate of readmission for stroke patients,15.3,12.1,0.98
294,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,15.3,Not Available,0.98
295,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,15.3,20.8,0.98
296,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,15.3,15.3,0.98
297,SHAWNEE,Hospital return days for heart attack patients,15.3,-9.5,1
298,SHAWNEE,Hospital return days for heart failure patients,15.3,-12.7,1
299,SHAWNEE,Hospital return days for pneumonia patients,15.3,-15,1
300,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",15.3,15.8,1
301,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,15.3,14.4,1
302,SHAWNEE,Rate of readmission for CABG,15.3,13.5,1
303,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,15.3,20.1,1
304,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,15.3,19.5,1
305,SHAWNEE,Rate of readmission after hip/knee replacement,15.3,4.2,1
306,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,15.3,14.9,1
307,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,15.3,15.2,1
308,SHAWNEE,Rate of readmission for stroke patients,15.3,12.3,1
309,SHAWNEE,Hospital return days for heart attack patients,15.3,-7.1,1
310,SHAWNEE,Hospital return days for heart failure patients,15.3,1,1
311,SHAWNEE,Hospital return days for pneumonia patients,15.3,-2.2,1
312,SHAWNEE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",15.3,Not Available,1
313,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,15.3,14.8,1
314,SHAWNEE,Rate of readmission for CABG,15.3,13.8,1
315,SHAWNEE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,15.3,20.4,1
316,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,15.3,21.3,1
317,SHAWNEE,Rate of readmission after hip/knee replacement,15.3,4.6,1
318,SHAWNEE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,15.3,15.2,1
319,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,15.3,17.6,1
320,SHAWNEE,Rate of readmission for stroke patients,15.3,12.1,1
321,SHAWNEE,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,15.3,Not Available,1
322,SHAWNEE,Heart failure (HF) 30-Day Readmission Rate,15.3,20.8,1
323,SHAWNEE,Pneumonia (PN) 30-Day Readmission Rate,15.3,15.3,1
324,LEAVENWORTH,Hospital return days for heart attack patients,,Not Available,0.88
325,LEAVENWORTH,Hospital return days for heart failure patients,,1.8,0.88
326,LEAVENWORTH,Hospital return days for pneumonia patients,,-26.4,0.88
327,LEAVENWORTH,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",,Not Available,0.88
328,LEAVENWORTH,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,,Not Available,0.88
329,LEAVENWORTH,Rate of readmission for CABG,,Not Available,0.88
330,LEAVENWORTH,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,,18.8,0.88
331,LEAVENWORTH,Heart failure (HF) 30-Day Readmission Rate,,22,0.88
