year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,state,primary_race,primary_denominator,analysis_value
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,33,NEW HAMPSHIRE,All,"undefined",17.679309049943672
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,34,NEW JERSEY,All,"undefined",16.377154444068942
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,35,NEW MEXICO,All,"undefined",9.133607919647375
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,36,NEW YORK,All,"undefined",12.529893014474512
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,37,NORTH CAROLINA,All,"undefined",12.545723402599423
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,38,NORTH DAKOTA,All,"undefined",12.63266891017344
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,39,OHIO,All,"undefined",5.749211356466877
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,40,OKLAHOMA,All,"undefined",12.461721674038788
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,41,OREGON,All,"undefined",12.819899545563262
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,42,PENNSYLVANIA,All,"undefined",14.722720669913697
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,44,RHODE ISLAND,All,"undefined",-15.461532104784729
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,45,SOUTH CAROLINA,All,"undefined",12.673073790519629
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,46,SOUTH DAKOTA,All,"undefined",38.45693779904306
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,47,TENNESSEE,All,"undefined",9.132257201462588
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,48,TEXAS,All,"undefined",13.788518692319725
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,49,UTAH,All,"undefined",10.185445349817364
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,50,VERMONT,All,"undefined",13.275567642780342
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,51,VIRGINIA,All,"undefined",7.3358155747445135
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,53,WASHINGTON,All,"undefined",19.908250200247576
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,54,WEST VIRGINIA,All,"undefined",3.344506517690875
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,55,WISCONSIN,All,"undefined",9.796408985049958
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,56,WYOMING,All,"undefined",6.889922480620155
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,66,GUAM,All,"undefined",70.73783359497645
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,69,NORTHERN MARIANAS,All,"undefined",4.957689477557027
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,72,PUERTO RICO,All,"undefined",40.42078418871533
2012-2016,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,78,VIRGIN ISLANDS,All,"undefined",28.318072289156625
